IP 地址,已发送,已接收,丢包率,平均延迟,下载速度(MB/s),地区码,端口
104.19.227.80,4,4,0.00,201.10,0.00,LAX,443
104.17.255.185,4,4,0.00,201.10,0.00,SEA,443
104.24.21.183,4,4,0.00,201.10,0.00,LAX,443
104.24.6.97,4,4,0.00,201.10,0.00,LAX,443
104.24.11.181,4,4,0.00,201.10,0.00,LAX,443
104.24.9.31,4,4,0.00,201.10,0.00,LAX,443
172.64.76.145,4,4,0.00,201.10,0.00,LAX,443
172.64.74.110,4,4,0.00,201.10,0.00,LAX,443
104.27.199.217,4,4,0.00,201.11,0.00,LAX,443
104.18.79.220,4,4,0.00,201.13,0.00,LAX,443
104.18.96.81,4,4,0.00,201.13,0.00,LAX,443
104.25.99.247,4,4,0.00,201.16,0.00,LAX,443
104.25.59.17,4,4,0.00,201.16,0.00,LAX,443
104.25.90.235,4,4,0.00,201.16,0.00,LAX,443
104.20.3.252,4,4,0.00,201.16,0.00,LAX,443
104.19.6.123,4,4,0.00,201.16,0.00,LAX,443
104.19.10.206,4,4,0.00,201.16,0.00,LAX,443
104.19.112.237,4,4,0.00,201.17,0.00,LAX,443
104.19.115.185,4,4,0.00,201.17,0.00,LAX,443
104.25.37.185,4,4,0.00,201.17,0.00,LAX,443
104.25.103.38,4,4,0.00,201.17,0.00,LAX,443
104.25.94.34,4,4,0.00,201.17,0.00,LAX,443
104.16.67.53,4,4,0.00,201.18,0.00,LAX,443
104.16.71.188,4,4,0.00,201.18,0.00,LAX,443
104.17.64.198,4,4,0.00,201.18,0.00,LAX,443
104.19.113.178,4,4,0.00,201.19,0.00,LAX,443
104.19.164.36,4,4,0.00,201.19,0.00,LAX,443
104.19.166.218,4,4,0.00,201.19,0.00,LAX,443
162.159.1.55,4,4,0.00,201.20,0.00,LAX,443
104.20.45.94,4,4,0.00,201.20,0.00,LAX,443
104.24.138.203,4,4,0.00,201.20,0.00,LAX,443
104.17.65.157,4,4,0.00,201.21,0.00,LAX,443
104.18.151.33,4,4,0.00,201.23,0.00,LAX,443
104.19.202.21,4,4,0.00,201.24,0.00,LAX,443
172.66.200.235,4,4,0.00,201.24,0.00,LAX,443
104.17.237.51,4,4,0.00,201.25,0.00,SEA,443
104.19.203.127,4,4,0.00,201.25,0.00,LAX,443
104.19.204.144,4,4,0.00,201.25,0.00,LAX,443
104.19.195.56,4,4,0.00,201.25,0.00,LAX,443
104.18.75.47,4,4,0.00,201.25,0.00,LAX,443
172.64.75.93,4,4,0.00,201.26,0.00,LAX,443
104.19.241.83,4,4,0.00,201.26,0.00,LAX,443
104.19.240.87,4,4,0.00,201.26,0.00,LAX,443
104.17.81.102,4,4,0.00,201.26,0.00,LAX,443
104.25.54.150,4,4,0.00,201.30,0.00,LAX,443
104.19.252.125,4,4,0.00,201.30,0.00,LAX,443
104.21.28.184,4,4,0.00,201.31,0.00,SEA,443
104.20.38.74,4,4,0.00,201.33,0.00,LAX,443
104.20.41.101,4,4,0.00,201.33,0.00,LAX,443
104.20.43.2,4,4,0.00,201.33,0.00,LAX,443
104.20.39.28,4,4,0.00,201.33,0.00,LAX,443
104.20.42.30,4,4,0.00,201.33,0.00,LAX,443
104.20.40.112,4,4,0.00,201.34,0.00,LAX,443
104.18.97.76,4,4,0.00,201.34,0.00,LAX,443
104.24.147.95,4,4,0.00,201.35,0.00,LAX,443
104.19.162.126,4,4,0.00,201.36,0.00,LAX,443
104.18.78.42,4,4,0.00,201.36,0.00,LAX,443
104.27.194.114,4,4,0.00,201.37,0.00,LAX,443
104.16.75.194,4,4,0.00,201.37,0.00,LAX,443
104.16.72.124,4,4,0.00,201.37,0.00,LAX,443
104.16.76.174,4,4,0.00,201.37,0.00,LAX,443
104.16.65.4,4,4,0.00,201.37,0.00,LAX,443
104.18.74.176,4,4,0.00,201.37,0.00,LAX,443
104.19.231.226,4,4,0.00,201.38,0.00,LAX,443
104.19.224.49,4,4,0.00,201.38,0.00,LAX,443
104.19.225.80,4,4,0.00,201.38,0.00,LAX,443
104.19.223.228,4,4,0.00,201.38,0.00,LAX,443
104.19.229.4,4,4,0.00,201.38,0.00,LAX,443
104.19.228.98,4,4,0.00,201.38,0.00,LAX,443
104.24.10.145,4,4,0.00,201.40,0.00,LAX,443
104.24.27.33,4,4,0.00,201.40,0.00,LAX,443
104.24.25.238,4,4,0.00,201.40,0.00,LAX,443
104.19.163.163,4,4,0.00,201.40,0.00,LAX,443
104.19.161.165,4,4,0.00,201.40,0.00,LAX,443
104.19.167.139,4,4,0.00,201.40,0.00,LAX,443
104.19.23.23,4,4,0.00,201.40,0.00,LAX,443
104.27.51.68,4,4,0.00,201.41,0.00,LAX,443
104.16.219.13,4,4,0.00,201.41,0.00,LAX,443
104.19.199.10,4,4,0.00,201.42,0.00,LAX,443
104.19.196.26,4,4,0.00,201.42,0.00,LAX,443
104.19.198.103,4,4,0.00,201.42,0.00,LAX,443
104.25.88.183,4,4,0.00,201.43,0.00,LAX,443
104.25.92.239,4,4,0.00,201.43,0.00,LAX,443
104.25.106.123,4,4,0.00,201.43,0.00,LAX,443
172.66.203.107,4,4,0.00,201.43,0.00,LAX,443
104.19.5.7,4,4,0.00,201.44,0.00,LAX,443
104.27.196.12,4,4,0.00,201.45,0.00,LAX,443
104.27.198.191,4,4,0.00,201.45,0.00,LAX,443
104.27.205.216,4,4,0.00,201.45,0.00,LAX,443
104.27.206.1,4,4,0.00,201.45,0.00,LAX,443
104.16.3.35,4,4,0.00,201.46,0.00,LAX,443
104.27.99.46,4,4,0.00,201.47,0.00,LAX,443
104.25.104.209,4,4,0.00,201.47,0.00,LAX,443
104.25.102.19,4,4,0.00,201.47,0.00,LAX,443
104.20.44.126,4,4,0.00,201.47,0.00,LAX,443
104.25.52.138,4,4,0.00,201.48,0.00,LAX,443
104.25.97.245,4,4,0.00,201.48,0.00,LAX,443
104.25.112.167,4,4,0.00,201.48,0.00,LAX,443
104.25.49.195,4,4,0.00,201.50,0.00,LAX,443
104.25.63.22,4,4,0.00,201.50,0.00,LAX,443
104.19.141.211,4,4,0.00,201.50,0.00,LAX,443
104.19.248.88,4,4,0.00,201.51,0.00,LAX,443
104.19.97.15,4,4,0.00,201.53,0.00,LAX,443
104.16.63.167,4,4,0.00,201.53,0.00,LAX,443
104.16.66.212,4,4,0.00,201.53,0.00,LAX,443
104.27.49.240,4,4,0.00,201.54,0.00,LAX,443
104.27.54.174,4,4,0.00,201.54,0.00,LAX,443
104.27.43.173,4,4,0.00,201.55,0.00,LAX,443
104.26.12.141,4,4,0.00,201.56,0.00,SEA,443
104.24.30.211,4,4,0.00,201.57,0.00,LAX,443
104.24.15.54,4,4,0.00,201.57,0.00,LAX,443
104.19.244.90,4,4,0.00,201.58,0.00,LAX,443
104.18.167.99,4,4,0.00,201.60,0.00,LAX,443
104.25.38.54,4,4,0.00,201.62,0.00,LAX,443
104.24.131.64,4,4,0.00,201.62,0.00,LAX,443
104.24.1.245,4,4,0.00,201.64,0.00,LAX,443
104.19.114.50,4,4,0.00,201.64,0.00,LAX,443
104.25.64.21,4,4,0.00,201.64,0.00,LAX,443
104.24.2.223,4,4,0.00,201.65,0.00,LAX,443
104.27.55.252,4,4,0.00,201.65,0.00,LAX,443
104.16.4.134,4,4,0.00,201.67,0.00,LAX,443
104.24.155.187,4,4,0.00,201.67,0.00,LAX,443
104.16.79.156,4,4,0.00,201.69,0.00,LAX,443
104.16.69.102,4,4,0.00,201.69,0.00,LAX,443
104.16.73.125,4,4,0.00,201.69,0.00,LAX,443
104.16.78.179,4,4,0.00,201.69,0.00,LAX,443
104.16.77.174,4,4,0.00,201.69,0.00,LAX,443
104.16.64.11,4,4,0.00,201.69,0.00,LAX,443
104.20.21.143,4,4,0.00,201.69,0.00,LAX,443
104.19.89.202,4,4,0.00,201.69,0.00,LAX,443
104.19.95.33,4,4,0.00,201.69,0.00,LAX,443
104.19.98.42,4,4,0.00,201.69,0.00,LAX,443
104.27.41.124,4,4,0.00,201.69,0.00,LAX,443
104.27.14.44,4,4,0.00,201.70,0.00,LAX,443
104.27.11.199,4,4,0.00,201.70,0.00,LAX,443
104.27.12.160,4,4,0.00,201.70,0.00,LAX,443
104.18.154.54,4,4,0.00,201.74,0.00,LAX,443
198.41.202.198,4,4,0.00,201.75,0.00,LAX,443
104.25.98.18,4,4,0.00,201.75,0.00,LAX,443
104.17.72.149,4,4,0.00,201.77,0.00,LAX,443
104.25.35.167,4,4,0.00,201.77,0.00,LAX,443
104.24.160.155,4,4,0.00,201.80,0.00,LAX,443
104.24.13.254,4,4,0.00,201.81,0.00,LAX,443
104.24.23.192,4,4,0.00,201.81,0.00,LAX,443
104.16.88.13,4,4,0.00,201.81,0.00,LAX,443
104.24.133.191,4,4,0.00,201.82,0.00,LAX,443
104.27.44.178,4,4,0.00,201.83,0.00,LAX,443
162.159.249.109,4,4,0.00,201.83,0.00,LAX,443
104.17.231.227,4,4,0.00,201.83,0.00,SEA,443
104.17.229.158,4,4,0.00,201.83,0.00,SEA,443
104.20.9.55,4,4,0.00,201.85,0.00,LAX,443
104.20.22.113,4,4,0.00,201.86,0.00,LAX,443
104.24.149.110,4,4,0.00,201.88,0.00,LAX,443
104.18.76.33,4,4,0.00,201.89,0.00,LAX,443
104.19.26.153,4,4,0.00,201.89,0.00,LAX,443
104.19.101.32,4,4,0.00,201.89,0.00,LAX,443
104.24.55.244,4,4,0.00,201.92,0.00,LAX,443
104.19.90.39,4,4,0.00,201.92,0.00,LAX,443
104.19.103.17,4,4,0.00,201.92,0.00,LAX,443
104.19.87.20,4,4,0.00,201.92,0.00,LAX,443
104.25.43.40,4,4,0.00,201.93,0.00,LAX,443
104.25.50.22,4,4,0.00,201.94,0.00,LAX,443
104.25.55.125,4,4,0.00,201.95,0.00,LAX,443
104.25.58.216,4,4,0.00,201.95,0.00,LAX,443
104.19.139.72,4,4,0.00,201.95,0.00,LAX,443
162.159.247.239,4,4,0.00,201.96,0.00,LAX,443
104.19.234.128,4,4,0.00,201.98,0.00,LAX,443
104.18.0.189,4,4,0.00,201.98,0.00,SEA,443
104.24.209.86,4,4,0.00,201.99,0.00,LAX,443
104.27.48.83,4,4,0.00,201.99,0.00,LAX,443
104.27.26.156,4,4,0.00,201.99,0.00,LAX,443
104.27.34.198,4,4,0.00,201.99,0.00,LAX,443
104.27.31.108,4,4,0.00,201.99,0.00,LAX,443
104.27.42.84,4,4,0.00,201.99,0.00,LAX,443
198.41.204.15,4,4,0.00,202.00,0.00,LAX,443
104.27.80.57,4,4,0.00,202.01,0.00,LAX,443
104.24.146.201,4,4,0.00,202.01,0.00,LAX,443
104.24.148.84,4,4,0.00,202.01,0.00,LAX,443
104.24.151.47,4,4,0.00,202.02,0.00,LAX,443
104.18.15.71,4,4,0.00,202.02,0.00,SEA,443
104.21.25.112,4,4,0.00,202.03,0.00,SEA,443
104.27.100.238,4,4,0.00,202.03,0.00,LAX,443
104.27.107.147,4,4,0.00,202.03,0.00,LAX,443
104.20.6.198,4,4,0.00,202.04,0.00,LAX,443
104.20.7.209,4,4,0.00,202.04,0.00,LAX,443
104.21.52.42,4,4,0.00,202.04,0.00,LAX,443
104.19.232.153,4,4,0.00,202.05,0.00,LAX,443
104.19.233.22,4,4,0.00,202.05,0.00,LAX,443
172.67.75.173,4,4,0.00,202.05,0.00,SEA,443
104.19.93.52,4,4,0.00,202.05,0.00,LAX,443
104.19.239.66,4,4,0.00,202.07,0.00,LAX,443
104.19.246.245,4,4,0.00,202.07,0.00,LAX,443
104.25.57.45,4,4,0.00,202.08,0.00,LAX,443
104.25.41.252,4,4,0.00,202.08,0.00,LAX,443
104.27.50.188,4,4,0.00,202.08,0.00,LAX,443
162.159.242.94,4,4,0.00,202.09,0.00,LAX,443
162.159.253.134,4,4,0.00,202.09,0.00,LAX,443
104.16.2.16,4,4,0.00,202.09,0.00,LAX,443
104.21.31.179,4,4,0.00,202.09,0.00,SEA,443
104.19.253.50,4,4,0.00,202.09,0.00,LAX,443
104.19.243.176,4,4,0.00,202.09,0.00,LAX,443
104.20.0.235,4,4,0.00,202.09,0.00,LAX,443
104.20.4.187,4,4,0.00,202.09,0.00,LAX,443
104.17.66.161,4,4,0.00,202.10,0.00,LAX,443
104.19.27.18,4,4,0.00,202.10,0.00,LAX,443
104.25.40.169,4,4,0.00,202.10,0.00,LAX,443
104.25.44.112,4,4,0.00,202.10,0.00,LAX,443
104.19.235.42,4,4,0.00,202.12,0.00,LAX,443
104.17.33.95,4,4,0.00,202.14,0.00,LAX,443
104.27.35.0,4,4,0.00,202.14,0.00,LAX,443
104.27.16.42,4,4,0.00,202.14,0.00,LAX,443
104.27.30.18,4,4,0.00,202.14,0.00,LAX,443
104.27.52.30,4,4,0.00,202.14,0.00,LAX,443
104.27.28.17,4,4,0.00,202.14,0.00,LAX,443
104.27.23.91,4,4,0.00,202.14,0.00,LAX,443
104.19.19.176,4,4,0.00,202.15,0.00,LAX,443
104.24.156.124,4,4,0.00,202.15,0.00,LAX,443
162.159.245.52,4,4,0.00,202.17,0.00,LAX,443
104.26.14.224,4,4,0.00,202.17,0.00,SEA,443
104.17.89.135,4,4,0.00,202.17,0.00,LAX,443
104.24.195.161,4,4,0.00,202.18,0.00,LAX,443
104.24.217.242,4,4,0.00,202.20,0.00,LAX,443
104.26.13.159,4,4,0.00,202.20,0.00,SEA,443
104.19.255.200,4,4,0.00,202.21,0.00,LAX,443
104.19.247.193,4,4,0.00,202.21,0.00,LAX,443
104.19.249.143,4,4,0.00,202.21,0.00,LAX,443
104.20.8.80,4,4,0.00,202.21,0.00,LAX,443
104.17.82.111,4,4,0.00,202.22,0.00,LAX,443
104.17.87.125,4,4,0.00,202.22,0.00,LAX,443
104.17.95.123,4,4,0.00,202.22,0.00,LAX,443
104.18.48.59,4,4,0.00,202.23,0.00,LAX,443
104.25.95.68,4,4,0.00,202.23,0.00,LAX,443
104.27.64.29,4,4,0.00,202.23,0.00,LAX,443
104.27.78.210,4,4,0.00,202.23,0.00,LAX,443
104.27.2.211,4,4,0.00,202.25,0.00,LAX,443
104.16.1.44,4,4,0.00,202.26,0.00,LAX,443
104.18.162.140,4,4,0.00,202.26,0.00,LAX,443
104.18.149.134,4,4,0.00,202.26,0.00,LAX,443
104.24.187.152,4,4,0.00,202.27,0.00,LAX,443
104.17.226.210,4,4,0.00,202.28,0.00,SEA,443
104.27.117.83,4,4,0.00,202.28,0.00,LAX,443
104.27.115.104,4,4,0.00,202.28,0.00,LAX,443
104.27.40.194,4,4,0.00,202.28,0.00,LAX,443
104.27.27.33,4,4,0.00,202.28,0.00,LAX,443
104.26.2.144,4,4,0.00,202.29,0.00,SEA,443
104.26.0.141,4,4,0.00,202.29,0.00,SEA,443
104.20.1.138,4,4,0.00,202.30,0.00,LAX,443
104.19.242.4,4,4,0.00,202.30,0.00,LAX,443
104.19.251.101,4,4,0.00,202.30,0.00,LAX,443
104.18.210.232,4,4,0.00,202.30,0.00,LAX,443
104.25.116.118,4,4,0.00,202.31,0.00,LAX,443
104.18.70.119,4,4,0.00,202.31,0.00,LAX,443
104.17.34.38,4,4,0.00,202.31,0.00,LAX,443
104.17.12.69,4,4,0.00,202.31,0.00,LAX,443
172.66.214.232,4,4,0.00,202.31,0.00,LAX,443
104.17.90.27,4,4,0.00,202.32,0.00,LAX,443
104.21.237.234,4,4,0.00,202.32,0.00,LAX,443
104.21.232.60,4,4,0.00,202.32,0.00,LAX,443
104.18.185.48,4,4,0.00,202.32,0.00,LAX,443
104.18.7.196,4,4,0.00,202.33,0.00,SEA,443
104.18.9.189,4,4,0.00,202.33,0.00,SEA,443
104.17.78.64,4,4,0.00,202.33,0.00,LAX,443
104.24.95.72,4,4,0.00,202.33,0.00,LAX,443
104.21.24.3,4,4,0.00,202.34,0.00,SEA,443
104.21.23.59,4,4,0.00,202.34,0.00,SEA,443
104.24.182.232,4,4,0.00,202.34,0.00,LAX,443
104.24.206.104,4,4,0.00,202.34,0.00,LAX,443
104.24.64.30,4,4,0.00,202.35,0.00,LAX,443
104.17.92.116,4,4,0.00,202.35,0.00,LAX,443
104.24.201.98,4,4,0.00,202.36,0.00,LAX,443
104.24.207.242,4,4,0.00,202.36,0.00,LAX,443
104.17.91.1,4,4,0.00,202.37,0.00,LAX,443
104.19.237.152,4,4,0.00,202.37,0.00,LAX,443
104.18.49.177,4,4,0.00,202.38,0.00,LAX,443
172.67.78.146,4,4,0.00,202.39,0.00,SEA,443
104.27.62.150,4,4,0.00,202.39,0.00,LAX,443
104.16.140.202,4,4,0.00,202.39,0.00,LAX,443
104.16.209.27,4,4,0.00,202.40,0.00,LAX,443
104.17.37.125,4,4,0.00,202.42,0.00,LAX,443
104.16.49.169,4,4,0.00,202.42,0.00,LAX,443
104.18.168.215,4,4,0.00,202.42,0.00,LAX,443
104.27.33.112,4,4,0.00,202.43,0.00,LAX,443
104.27.47.144,4,4,0.00,202.43,0.00,LAX,443
104.19.206.204,4,4,0.00,202.44,0.00,LAX,443
104.24.69.207,4,4,0.00,202.44,0.00,LAX,443
104.24.68.149,4,4,0.00,202.44,0.00,LAX,443
104.26.6.168,4,4,0.00,202.45,0.00,SEA,443
172.66.212.148,4,4,0.00,202.46,0.00,LAX,443
104.19.17.100,4,4,0.00,202.46,0.00,LAX,443
172.66.211.66,4,4,0.00,202.47,0.00,LAX,443
104.25.36.130,4,4,0.00,202.48,0.00,LAX,443
198.41.217.189,4,4,0.00,202.48,0.00,LAX,443
104.18.13.65,4,4,0.00,202.48,0.00,SEA,443
198.41.211.227,4,4,0.00,202.49,0.00,LAX,443
198.41.223.105,4,4,0.00,202.49,0.00,LAX,443
104.24.45.253,4,4,0.00,202.49,0.00,LAX,443
104.25.19.70,4,4,0.00,202.49,0.00,LAX,443
104.24.150.146,4,4,0.00,202.49,0.00,LAX,443
104.18.181.186,4,4,0.00,202.50,0.00,LAX,443
104.21.236.162,4,4,0.00,202.50,0.00,LAX,443
104.21.230.209,4,4,0.00,202.50,0.00,LAX,443
104.27.5.90,4,4,0.00,202.50,0.00,LAX,443
104.24.202.10,4,4,0.00,202.50,0.00,LAX,443
104.18.119.204,4,4,0.00,202.50,0.00,LAX,443
104.24.193.245,4,4,0.00,202.52,0.00,LAX,443
162.159.246.152,4,4,0.00,202.52,0.00,LAX,443
104.24.200.117,4,4,0.00,202.53,0.00,LAX,443
162.159.15.31,4,4,0.00,202.53,0.00,LAX,443
162.159.21.11,4,4,0.00,202.53,0.00,LAX,443
104.18.50.63,4,4,0.00,202.55,0.00,LAX,443
104.25.114.9,4,4,0.00,202.55,0.00,LAX,443
104.25.51.144,4,4,0.00,202.55,0.00,LAX,443
104.25.60.243,4,4,0.00,202.55,0.00,LAX,443
172.67.146.244,4,4,0.00,202.55,0.00,SEA,443
104.18.140.55,4,4,0.00,202.56,0.00,LAX,443
104.27.8.96,4,4,0.00,202.57,0.00,LAX,443
104.17.10.58,4,4,0.00,202.57,0.00,LAX,443
198.41.193.177,4,4,0.00,202.57,0.00,LAX,443
104.17.9.157,4,4,0.00,202.58,0.00,LAX,443
104.21.238.221,4,4,0.00,202.59,0.00,LAX,443
104.18.12.191,4,4,0.00,202.59,0.00,SEA,443
172.67.152.248,4,4,0.00,202.60,0.00,SEA,443
104.24.143.147,4,4,0.00,202.62,0.00,LAX,443
104.25.207.80,4,4,0.00,202.62,0.00,LAX,443
162.159.236.225,4,4,0.00,202.63,0.00,LAX,443
104.27.0.148,4,4,0.00,202.63,0.00,LAX,443
104.19.197.75,4,4,0.00,202.63,0.00,LAX,443
104.19.201.26,4,4,0.00,202.63,0.00,LAX,443
104.21.231.119,4,4,0.00,202.63,0.00,LAX,443
104.21.235.6,4,4,0.00,202.63,0.00,LAX,443
162.159.18.152,4,4,0.00,202.63,0.00,LAX,443
162.159.10.43,4,4,0.00,202.63,0.00,LAX,443
104.24.189.143,4,4,0.00,202.64,0.00,LAX,443
198.41.199.209,4,4,0.00,202.65,0.00,LAX,443
104.24.215.81,4,4,0.00,202.65,0.00,LAX,443
104.24.168.176,4,4,0.00,202.68,0.00,LAX,443
172.67.77.218,4,4,0.00,202.69,0.00,SEA,443
162.159.19.60,4,4,0.00,202.69,0.00,LAX,443
162.159.8.64,4,4,0.00,202.69,0.00,LAX,443
104.25.53.137,4,4,0.00,202.70,0.00,LAX,443
104.16.40.153,4,4,0.00,202.71,0.00,LAX,443
104.25.182.59,4,4,0.00,202.71,0.00,LAX,443
198.41.218.137,4,4,0.00,202.71,0.00,LAX,443
104.19.245.169,4,4,0.00,202.71,0.00,LAX,443
172.66.217.113,4,4,0.00,202.72,0.00,LAX,443
172.66.215.65,4,4,0.00,202.72,0.00,LAX,443
104.25.183.233,4,4,0.00,202.72,0.00,LAX,443
104.25.185.239,4,4,0.00,202.72,0.00,LAX,443
104.17.8.93,4,4,0.00,202.72,0.00,LAX,443
104.25.205.69,4,4,0.00,202.74,0.00,LAX,443
104.25.208.199,4,4,0.00,202.74,0.00,LAX,443
172.67.150.20,4,4,0.00,202.74,0.00,SEA,443
104.20.29.77,4,4,0.00,202.74,0.00,LAX,443
104.24.137.82,4,4,0.00,202.75,0.00,LAX,443
104.24.136.130,4,4,0.00,202.75,0.00,LAX,443
104.24.141.184,4,4,0.00,202.75,0.00,LAX,443
162.159.240.94,4,4,0.00,202.76,0.00,LAX,443
104.27.1.182,4,4,0.00,202.76,0.00,LAX,443
104.25.204.16,4,4,0.00,202.76,0.00,LAX,443
162.159.233.216,4,4,0.00,202.76,0.00,LAX,443
104.24.144.221,4,4,0.00,202.76,0.00,LAX,443
104.24.145.100,4,4,0.00,202.76,0.00,LAX,443
104.18.156.92,4,4,0.00,202.77,0.00,LAX,443
104.19.205.165,4,4,0.00,202.77,0.00,LAX,443
104.27.7.80,4,4,0.00,202.78,0.00,LAX,443
198.41.214.47,4,4,0.00,202.78,0.00,LAX,443
198.41.194.173,4,4,0.00,202.78,0.00,LAX,443
104.24.40.226,4,4,0.00,202.78,0.00,LAX,443
104.19.13.210,4,4,0.00,202.79,0.00,LAX,443
104.19.14.9,4,4,0.00,202.79,0.00,LAX,443
104.19.22.81,4,4,0.00,202.79,0.00,LAX,443
162.159.244.191,4,4,0.00,202.79,0.00,LAX,443
104.24.42.69,4,4,0.00,202.79,0.00,LAX,443
104.19.132.84,4,4,0.00,202.79,0.00,LAX,443
104.19.134.120,4,4,0.00,202.79,0.00,LAX,443
104.17.44.243,4,4,0.00,202.80,0.00,LAX,443
104.25.7.100,4,4,0.00,202.80,0.00,LAX,443
104.24.216.83,4,4,0.00,202.80,0.00,LAX,443
104.19.138.182,4,4,0.00,202.80,0.00,LAX,443
104.25.11.62,4,4,0.00,202.81,0.00,LAX,443
104.25.172.206,4,4,0.00,202.83,0.00,LAX,443
104.25.179.117,4,4,0.00,202.84,0.00,LAX,443
104.24.191.241,4,4,0.00,202.84,0.00,LAX,443
104.25.188.167,4,4,0.00,202.85,0.00,LAX,443
104.25.48.168,4,4,0.00,202.85,0.00,LAX,443
104.25.39.117,4,4,0.00,202.85,0.00,LAX,443
104.25.210.104,4,4,0.00,202.86,0.00,LAX,443
104.25.203.21,4,4,0.00,202.86,0.00,LAX,443
104.25.211.24,4,4,0.00,202.86,0.00,LAX,443
104.21.233.157,4,4,0.00,202.87,0.00,LAX,443
104.21.234.152,4,4,0.00,202.87,0.00,LAX,443
172.67.149.240,4,4,0.00,202.87,0.00,SEA,443
172.67.148.152,4,4,0.00,202.87,0.00,SEA,443
104.25.135.173,4,4,0.00,202.87,0.00,LAX,443
104.25.206.219,4,4,0.00,202.88,0.00,LAX,443
104.24.159.173,4,4,0.00,202.89,0.00,LAX,443
104.24.132.146,4,4,0.00,202.89,0.00,LAX,443
104.24.139.230,4,4,0.00,202.89,0.00,LAX,443
104.24.158.218,4,4,0.00,202.89,0.00,LAX,443
104.17.248.208,4,4,0.00,202.89,0.00,SEA,443
104.17.239.238,4,4,0.00,202.89,0.00,SEA,443
104.27.9.218,4,4,0.00,202.91,0.00,LAX,443
104.24.184.51,4,4,0.00,202.93,0.00,LAX,443
104.27.3.4,4,4,0.00,202.93,0.00,LAX,443
104.27.46.5,4,4,0.00,202.94,0.00,LAX,443
198.41.192.233,4,4,0.00,202.94,0.00,LAX,443
104.25.13.219,4,4,0.00,202.94,0.00,LAX,443
162.159.11.232,4,4,0.00,202.95,0.00,LAX,443
104.19.129.115,4,4,0.00,202.95,0.00,LAX,443
104.27.124.22,4,4,0.00,202.97,0.00,LAX,443
104.27.127.98,4,4,0.00,202.97,0.00,LAX,443
104.25.30.215,4,4,0.00,202.98,0.00,LAX,443
104.25.62.84,4,4,0.00,202.98,0.00,LAX,443
104.25.45.4,4,4,0.00,202.98,0.00,LAX,443
104.18.8.112,4,4,0.00,202.99,0.00,SEA,443
104.18.10.22,4,4,0.00,202.99,0.00,SEA,443
104.17.38.44,4,4,0.00,202.99,0.00,LAX,443
104.20.2.9,4,4,0.00,202.99,0.00,LAX,443
104.25.67.38,4,4,0.00,203.01,0.00,LAX,443
104.18.118.29,4,4,0.00,203.01,0.00,LAX,443
104.17.242.153,4,4,0.00,203.02,0.00,SEA,443
104.18.171.119,4,4,0.00,203.02,0.00,LAX,443
104.18.172.30,4,4,0.00,203.02,0.00,LAX,443
104.18.179.162,4,4,0.00,203.02,0.00,LAX,443
162.159.22.224,4,4,0.00,203.04,0.00,LAX,443
172.66.201.170,4,4,0.00,203.05,0.00,LAX,443
172.66.198.31,4,4,0.00,203.05,0.00,LAX,443
104.24.135.52,4,4,0.00,203.06,0.00,LAX,443
104.18.206.195,4,4,0.00,203.06,0.00,LAX,443
104.16.35.34,4,4,0.00,203.07,0.00,LAX,443
104.16.23.165,4,4,0.00,203.07,0.00,LAX,443
104.16.29.83,4,4,0.00,203.07,0.00,LAX,443
104.16.120.237,4,4,0.00,203.08,0.00,LAX,443
104.18.117.225,4,4,0.00,203.08,0.00,LAX,443
104.25.8.185,4,4,0.00,203.08,0.00,LAX,443
104.25.17.99,4,4,0.00,203.08,0.00,LAX,443
104.25.12.247,4,4,0.00,203.08,0.00,LAX,443
104.25.18.153,4,4,0.00,203.08,0.00,LAX,443
104.25.16.152,4,4,0.00,203.08,0.00,LAX,443
104.27.4.127,4,4,0.00,203.08,0.00,LAX,443
104.16.61.161,4,4,0.00,203.08,0.00,LAX,443
104.24.214.27,4,4,0.00,203.08,0.00,LAX,443
104.24.199.199,4,4,0.00,203.08,0.00,LAX,443
104.25.173.237,4,4,0.00,203.09,0.00,LAX,443
104.27.53.232,4,4,0.00,203.09,0.00,LAX,443
162.159.17.71,4,4,0.00,203.10,0.00,LAX,443
104.19.192.206,4,4,0.00,203.10,0.00,LAX,443
104.18.148.152,4,4,0.00,203.10,0.00,LAX,443
162.159.25.91,4,4,0.00,203.10,0.00,LAX,443
104.16.44.187,4,4,0.00,203.12,0.00,LAX,443
104.25.186.46,4,4,0.00,203.12,0.00,LAX,443
104.16.26.18,4,4,0.00,203.12,0.00,LAX,443
172.67.76.149,4,4,0.00,203.12,0.00,SEA,443
104.25.170.139,4,4,0.00,203.13,0.00,LAX,443
104.25.133.33,4,4,0.00,203.14,0.00,LAX,443
104.25.56.185,4,4,0.00,203.14,0.00,LAX,443
104.18.6.88,4,4,0.00,203.16,0.00,SEA,443
104.18.11.163,4,4,0.00,203.16,0.00,SEA,443
104.21.9.142,4,4,0.00,203.17,0.00,LAX,443
162.159.254.77,4,4,0.00,203.18,0.00,LAX,443
104.25.202.32,4,4,0.00,203.20,0.00,LAX,443
104.24.165.104,4,4,0.00,203.20,0.00,LAX,443
104.18.212.113,4,4,0.00,203.21,0.00,LAX,443
104.19.188.211,4,4,0.00,203.21,0.00,LAX,443
104.18.207.200,4,4,0.00,203.21,0.00,LAX,443
