IP 地址,已发送,已接收,丢包率,平均延迟,下载速度(MB/s),地区码,端口
172.64.232.198,4,4,0.00,190.81,0.00,LAX,443
104.27.193.80,4,4,0.00,191.08,0.00,LAX,443
104.27.192.4,4,4,0.00,191.08,0.00,LAX,443
172.66.216.98,4,4,0.00,191.89,0.00,LAX,443
172.66.129.218,4,4,0.00,191.98,0.00,LAX,443
172.64.34.177,4,4,0.00,192.50,0.00,LAX,443
172.64.33.38,4,4,0.00,192.50,0.00,LAX,443
172.64.32.114,4,4,0.00,192.50,0.00,LAX,443
172.64.86.17,4,4,0.00,192.75,0.00,LAX,443
104.19.81.18,4,4,0.00,192.84,0.00,LAX,443
172.64.40.65,4,4,0.00,193.01,0.00,LAX,443
104.19.68.8,4,4,0.00,193.24,0.00,LAX,443
172.66.44.185,4,4,0.00,193.37,0.00,SEA,443
172.66.45.182,4,4,0.00,193.37,0.00,SEA,443
172.66.43.19,4,4,0.00,193.37,0.00,SEA,443
104.20.31.6,4,4,0.00,193.43,0.00,LAX,443
172.64.53.4,4,4,0.00,193.53,0.00,LAX,443
172.64.49.219,4,4,0.00,193.68,0.00,LAX,443
172.65.163.122,4,4,0.00,193.81,0.00,LAX,443
172.65.45.94,4,4,0.00,193.90,0.00,SEA,443
104.17.206.175,4,4,0.00,194.17,0.00,LAX,443
104.20.11.104,4,4,0.00,194.34,0.00,LAX,443
104.20.32.161,4,4,0.00,194.39,0.00,LAX,443
104.18.227.183,4,4,0.00,194.45,0.00,LAX,443
172.65.162.153,4,4,0.00,194.56,0.00,LAX,443
104.20.46.121,4,4,0.00,194.67,0.00,LAX,443
104.17.68.225,4,4,0.00,194.84,0.00,LAX,443
172.65.240.224,4,4,0.00,195.09,0.00,SJC,443
104.20.23.57,4,4,0.00,195.15,0.00,LAX,443
104.17.88.52,4,4,0.00,195.15,0.00,LAX,443
104.17.84.187,4,4,0.00,195.15,0.00,LAX,443
104.17.71.211,4,4,0.00,195.15,0.00,LAX,443
104.17.80.59,4,4,0.00,195.21,0.00,LAX,443
104.17.73.135,4,4,0.00,195.21,0.00,LAX,443
104.17.76.15,4,4,0.00,195.21,0.00,LAX,443
104.17.74.112,4,4,0.00,195.30,0.00,LAX,443
104.17.86.122,4,4,0.00,195.30,0.00,LAX,443
104.17.77.88,4,4,0.00,195.40,0.00,LAX,443
104.17.93.219,4,4,0.00,195.50,0.00,LAX,443
172.65.252.51,4,4,0.00,195.50,0.00,SJC,443
104.17.83.158,4,4,0.00,195.66,0.00,LAX,443
172.65.249.172,4,4,0.00,195.78,0.00,SJC,443
172.65.253.218,4,4,0.00,195.78,0.00,SJC,443
172.64.147.230,4,4,0.00,196.06,0.00,HKG,443
172.65.204.248,4,4,0.00,196.14,0.00,LAX,443
104.17.240.44,4,4,0.00,196.61,0.00,SEA,443
104.17.253.3,4,4,0.00,196.65,0.00,SEA,443
104.26.5.28,4,4,0.00,196.71,0.00,SEA,443
172.65.192.226,4,4,0.00,197.06,0.00,LAX,443
104.19.208.110,4,4,0.00,197.11,0.00,LAX,443
104.19.217.116,4,4,0.00,197.11,0.00,LAX,443
104.21.107.46,4,4,0.00,197.18,0.00,LAX,443
104.19.220.141,4,4,0.00,197.22,0.00,LAX,443
104.19.210.185,4,4,0.00,197.22,0.00,LAX,443
104.19.211.70,4,4,0.00,197.22,0.00,LAX,443
104.27.67.147,4,4,0.00,197.27,0.00,LAX,443
104.21.104.9,4,4,0.00,197.32,0.00,LAX,443
104.24.152.44,4,4,0.00,197.35,0.00,LAX,443
104.19.215.157,4,4,0.00,197.37,0.00,LAX,443
104.19.218.244,4,4,0.00,197.37,0.00,LAX,443
104.19.212.45,4,4,0.00,197.37,0.00,LAX,443
104.19.216.178,4,4,0.00,197.37,0.00,LAX,443
172.65.43.191,4,4,0.00,197.38,0.00,SEA,443
104.27.87.64,4,4,0.00,197.39,0.00,LAX,443
104.27.86.125,4,4,0.00,197.39,0.00,LAX,443
104.27.76.65,4,4,0.00,197.39,0.00,LAX,443
104.19.209.241,4,4,0.00,197.48,0.00,LAX,443
104.19.207.62,4,4,0.00,197.48,0.00,LAX,443
172.65.35.54,4,4,0.00,197.48,0.00,SEA,443
172.65.33.96,4,4,0.00,197.48,0.00,SEA,443
104.27.65.77,4,4,0.00,197.49,0.00,LAX,443
104.27.60.19,4,4,0.00,197.49,0.00,LAX,443
104.27.79.128,4,4,0.00,197.64,0.00,LAX,443
104.27.74.54,4,4,0.00,197.64,0.00,LAX,443
104.27.58.185,4,4,0.00,197.64,0.00,LAX,443
104.19.236.163,4,4,0.00,197.64,0.00,LAX,443
104.16.232.135,4,4,0.00,197.71,0.00,LAX,443
104.27.88.118,4,4,0.00,197.80,0.00,LAX,443
104.27.77.175,4,4,0.00,197.80,0.00,LAX,443
104.27.81.70,4,4,0.00,197.80,0.00,LAX,443
104.16.225.100,4,4,0.00,197.88,0.00,LAX,443
104.19.99.3,4,4,0.00,197.94,0.00,LAX,443
104.27.61.161,4,4,0.00,198.03,0.00,LAX,443
104.27.72.123,4,4,0.00,198.03,0.00,LAX,443
104.19.213.12,4,4,0.00,198.07,0.00,LAX,443
104.19.219.85,4,4,0.00,198.07,0.00,LAX,443
172.64.189.189,4,4,0.00,198.08,0.00,LAX,443
104.19.94.226,4,4,0.00,198.10,0.00,LAX,443
172.67.157.132,4,4,0.00,198.18,0.00,SEA,443
104.27.63.96,4,4,0.00,198.18,0.00,LAX,443
104.27.84.93,4,4,0.00,198.18,0.00,LAX,443
104.27.69.199,4,4,0.00,198.18,0.00,LAX,443
172.65.50.129,4,4,0.00,198.21,0.00,LAX,443
104.19.221.106,4,4,0.00,198.21,0.00,LAX,443
104.19.222.171,4,4,0.00,198.21,0.00,LAX,443
104.19.214.76,4,4,0.00,198.21,0.00,LAX,443
104.16.81.73,4,4,0.00,198.25,0.00,LAX,443
172.67.158.111,4,4,0.00,198.25,0.00,SEA,443
172.67.156.218,4,4,0.00,198.25,0.00,SEA,443
172.67.173.138,4,4,0.00,198.28,0.00,SEA,443
104.17.235.177,4,4,0.00,198.29,0.00,SEA,443
104.17.250.70,4,4,0.00,198.29,0.00,SEA,443
104.19.107.156,4,4,0.00,198.35,0.00,LAX,443
104.27.82.136,4,4,0.00,198.37,0.00,LAX,443
104.27.59.179,4,4,0.00,198.37,0.00,LAX,443
104.27.68.97,4,4,0.00,198.37,0.00,LAX,443
104.27.75.0,4,4,0.00,198.37,0.00,LAX,443
104.27.57.42,4,4,0.00,198.37,0.00,LAX,443
104.19.104.55,4,4,0.00,198.37,0.00,LAX,443
104.19.106.98,4,4,0.00,198.37,0.00,LAX,443
104.19.96.201,4,4,0.00,198.37,0.00,LAX,443
104.19.111.58,4,4,0.00,198.37,0.00,LAX,443
172.67.169.69,4,4,0.00,198.40,0.00,SEA,443
172.67.164.217,4,4,0.00,198.40,0.00,SEA,443
172.67.165.27,4,4,0.00,198.40,0.00,SEA,443
104.18.2.169,4,4,0.00,198.48,0.00,SEA,443
104.18.5.240,4,4,0.00,198.48,0.00,SEA,443
104.17.251.210,4,4,0.00,198.48,0.00,SEA,443
172.67.167.147,4,4,0.00,198.52,0.00,SEA,443
172.67.162.175,4,4,0.00,198.53,0.00,SEA,443
104.19.108.122,4,4,0.00,198.53,0.00,LAX,443
104.19.105.252,4,4,0.00,198.53,0.00,LAX,443
172.67.174.10,4,4,0.00,198.58,0.00,SEA,443
104.17.0.118,4,4,0.00,198.59,0.00,LAX,443
104.18.1.16,4,4,0.00,198.63,0.00,SEA,443
172.67.155.34,4,4,0.00,198.65,0.00,SEA,443
172.67.170.160,4,4,0.00,198.65,0.00,SEA,443
172.67.171.46,4,4,0.00,198.65,0.00,SEA,443
104.27.85.228,4,4,0.00,198.75,0.00,LAX,443
104.27.73.32,4,4,0.00,198.75,0.00,LAX,443
104.16.227.56,4,4,0.00,198.77,0.00,LAX,443
104.19.91.234,4,4,0.00,198.82,0.00,LAX,443
104.17.41.17,4,4,0.00,198.83,0.00,LAX,443
104.27.105.62,4,4,0.00,198.84,0.00,LAX,443
104.20.52.0,4,4,0.00,198.84,0.00,FRA,443
104.17.6.13,4,4,0.00,198.84,0.00,LAX,443
104.16.84.231,4,4,0.00,198.87,0.00,LAX,443
104.16.83.133,4,4,0.00,198.87,0.00,LAX,443
104.19.102.146,4,4,0.00,198.90,0.00,LAX,443
104.19.200.251,4,4,0.00,198.93,0.00,LAX,443
104.17.4.168,4,4,0.00,198.93,0.00,LAX,443
104.17.7.151,4,4,0.00,198.97,0.00,LAX,443
104.17.3.133,4,4,0.00,198.97,0.00,LAX,443
104.17.5.151,4,4,0.00,198.97,0.00,LAX,443
104.19.88.48,4,4,0.00,198.97,0.00,LAX,443
104.19.110.40,4,4,0.00,198.97,0.00,LAX,443
104.19.100.121,4,4,0.00,198.97,0.00,LAX,443
104.19.92.115,4,4,0.00,198.97,0.00,LAX,443
104.24.66.178,4,4,0.00,199.01,0.00,LAX,443
104.27.197.191,4,4,0.00,199.03,0.00,LAX,443
104.17.2.57,4,4,0.00,199.16,0.00,LAX,443
104.18.187.136,4,4,0.00,199.18,0.00,LAX,443
104.18.186.31,4,4,0.00,199.18,0.00,LAX,443
104.24.65.200,4,4,0.00,199.22,0.00,LAX,443
104.18.3.220,4,4,0.00,199.23,0.00,SEA,443
104.17.246.252,4,4,0.00,199.23,0.00,SEA,443
104.24.48.143,4,4,0.00,199.23,0.00,LAX,443
104.18.189.208,4,4,0.00,199.34,0.00,LAX,443
104.24.59.36,4,4,0.00,199.35,0.00,LAX,443
104.24.44.5,4,4,0.00,199.35,0.00,LAX,443
104.17.42.23,4,4,0.00,199.37,0.00,LAX,443
104.17.249.12,4,4,0.00,199.39,0.00,SEA,443
104.17.247.234,4,4,0.00,199.39,0.00,SEA,443
104.27.102.45,4,4,0.00,199.41,0.00,LAX,443
104.17.1.109,4,4,0.00,199.41,0.00,LAX,443
104.17.14.56,4,4,0.00,199.45,0.00,LAX,443
104.27.207.94,4,4,0.00,199.48,0.00,LAX,443
104.27.98.240,4,4,0.00,199.52,0.00,LAX,443
104.17.243.9,4,4,0.00,199.55,0.00,SEA,443
104.16.87.232,4,4,0.00,199.57,0.00,LAX,443
104.17.43.89,4,4,0.00,199.59,0.00,LAX,443
104.27.101.174,4,4,0.00,199.60,0.00,LAX,443
104.27.104.172,4,4,0.00,199.60,0.00,LAX,443
104.27.103.42,4,4,0.00,199.60,0.00,LAX,443
104.16.12.81,4,4,0.00,199.61,0.00,LAX,443
104.27.203.200,4,4,0.00,199.63,0.00,LAX,443
104.24.60.109,4,4,0.00,199.63,0.00,LAX,443
104.24.62.227,4,4,0.00,199.63,0.00,LAX,443
104.18.193.107,4,4,0.00,199.64,0.00,LAX,443
104.18.190.207,4,4,0.00,199.64,0.00,LAX,443
104.16.233.71,4,4,0.00,199.68,0.00,LAX,443
104.16.16.153,4,4,0.00,199.70,0.00,LAX,443
104.17.13.234,4,4,0.00,199.70,0.00,LAX,443
104.17.69.67,4,4,0.00,199.73,0.00,LAX,443
104.17.85.116,4,4,0.00,199.73,0.00,LAX,443
104.19.184.106,4,4,0.00,199.74,0.00,LAX,443
104.24.49.254,4,4,0.00,199.76,0.00,LAX,443
104.24.50.104,4,4,0.00,199.76,0.00,LAX,443
104.19.177.167,4,4,0.00,199.78,0.00,LAX,443
104.18.188.73,4,4,0.00,199.78,0.00,LAX,443
104.18.192.240,4,4,0.00,199.78,0.00,LAX,443
104.16.218.87,4,4,0.00,199.80,0.00,LAX,443
104.16.222.83,4,4,0.00,199.80,0.00,LAX,443
104.16.17.81,4,4,0.00,199.81,0.00,LAX,443
104.16.15.148,4,4,0.00,199.81,0.00,LAX,443
104.17.11.224,4,4,0.00,199.85,0.00,LAX,443
104.17.230.60,4,4,0.00,199.85,0.00,SEA,443
104.24.24.53,4,4,0.00,199.86,0.00,LAX,443
104.16.13.174,4,4,0.00,199.86,0.00,LAX,443
104.17.15.75,4,4,0.00,199.88,0.00,LAX,443
104.19.182.120,4,4,0.00,199.89,0.00,LAX,443
104.17.36.28,4,4,0.00,199.90,0.00,LAX,443
104.17.35.104,4,4,0.00,199.90,0.00,LAX,443
104.19.187.42,4,4,0.00,199.93,0.00,LAX,443
104.16.62.39,4,4,0.00,199.97,0.00,LAX,443
172.64.72.171,4,4,0.00,199.97,0.00,LAX,443
104.16.216.134,4,4,0.00,199.97,0.00,LAX,443
104.16.226.252,4,4,0.00,199.97,0.00,LAX,443
104.16.236.25,4,4,0.00,199.97,0.00,LAX,443
104.16.14.157,4,4,0.00,199.99,0.00,LAX,443
104.17.232.63,4,4,0.00,199.99,0.00,SEA,443
104.17.32.42,4,4,0.00,199.99,0.00,LAX,443
104.19.178.122,4,4,0.00,200.04,0.00,LAX,443
104.17.70.106,4,4,0.00,200.04,0.00,LAX,443
104.24.18.11,4,4,0.00,200.05,0.00,LAX,443
104.18.191.143,4,4,0.00,200.06,0.00,LAX,443
104.24.29.59,4,4,0.00,200.08,0.00,LAX,443
104.19.169.250,4,4,0.00,200.08,0.00,LAX,443
104.19.183.148,4,4,0.00,200.08,0.00,LAX,443
104.17.233.74,4,4,0.00,200.13,0.00,SEA,443
104.17.227.214,4,4,0.00,200.13,0.00,SEA,443
104.17.228.123,4,4,0.00,200.13,0.00,SEA,443
104.18.63.110,4,4,0.00,200.14,0.00,SEA,443
104.18.136.69,4,4,0.00,200.14,0.00,LAX,443
104.18.130.129,4,4,0.00,200.14,0.00,LAX,443
172.67.154.142,4,4,0.00,200.14,0.00,SEA,443
104.24.0.228,4,4,0.00,200.19,0.00,LAX,443
104.19.176.191,4,4,0.00,200.20,0.00,LAX,443
104.17.39.23,4,4,0.00,200.20,0.00,LAX,443
104.19.179.73,4,4,0.00,200.22,0.00,LAX,443
104.19.186.96,4,4,0.00,200.22,0.00,LAX,443
104.16.82.27,4,4,0.00,200.22,0.00,LAX,443
104.25.93.88,4,4,0.00,200.23,0.00,LAX,443
104.19.171.197,4,4,0.00,200.23,0.00,LAX,443
104.19.180.107,4,4,0.00,200.25,0.00,LAX,443
172.65.62.224,4,4,0.00,200.27,0.00,LAX,443
104.18.128.246,4,4,0.00,200.29,0.00,LAX,443
104.21.57.84,4,4,0.00,200.30,0.00,LAX,443
104.18.134.230,4,4,0.00,200.33,0.00,LAX,443
104.27.204.160,4,4,0.00,200.33,0.00,LAX,443
104.17.224.228,4,4,0.00,200.34,0.00,SEA,443
104.19.172.149,4,4,0.00,200.35,0.00,LAX,443
104.18.175.90,4,4,0.00,200.35,0.00,LAX,443
104.19.193.172,4,4,0.00,200.35,0.00,LAX,443
104.19.173.157,4,4,0.00,200.35,0.00,LAX,443
104.16.68.29,4,4,0.00,200.36,0.00,LAX,443
104.16.70.147,4,4,0.00,200.38,0.00,LAX,443
104.24.8.80,4,4,0.00,200.39,0.00,LAX,443
104.24.22.162,4,4,0.00,200.39,0.00,LAX,443
104.18.184.115,4,4,0.00,200.39,0.00,LAX,443
104.24.26.28,4,4,0.00,200.43,0.00,LAX,443
